ID,Employee_Name,Department,OCR_JSON_STRING
1,김철수,영업팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 683번길""}, ""transaction"": {""date"": ""2026-01-26"", ""time"": ""02:09"", ""total_amount"": 43409}, ""line_items"": [{""item_name"": ""위스키 샷"", ""quantity"": 2, ""unit_price"": 15100, ""total_price"": 30200}, {""item_name"": ""소주"", ""quantity"": 1, ""unit_price"": 5890, ""total_price"": 5890}, {""item_name"": ""된장찌개"", ""quantity"": 1, ""unit_price"": 7319, ""total_price"": 7319}]}"
2,김철수,영업팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 914번길""}, ""transaction"": {""date"": ""2026-01-04"", ""time"": ""04:10"", ""total_amount"": 532304}, ""line_items"": [{""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 247007, ""total_price"": 247007}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6477, ""total_price"": 12954}, {""item_name"": ""아이코스 테리아"", ""quantity"": 2, ""unit_price"": 41997, ""total_price"": 83994}, {""item_name"": ""한우 등심"", ""quantity"": 3, ""unit_price"": 62783, ""total_price"": 188349}]}"
3,김철수,영업팀,"{""merchant_details"": {""name"": ""남산돈까스"", ""address"": ""서울시 어딘가 구 462번길""}, ""transaction"": {""date"": ""2026-01-27"", ""time"": ""08:13"", ""total_amount"": 28788}, ""line_items"": [{""item_name"": ""소주"", ""quantity"": 3, ""unit_price"": 5434, ""total_price"": 16302}, {""item_name"": ""맥주"", ""quantity"": 2, ""unit_price"": 6243, ""total_price"": 12486}]}"
4,이영희,마케팅팀,"{""merchant_details"": {""name"": ""강남갈비"", ""address"": ""서울시 어딘가 구 414번길""}, ""transaction"": {""date"": ""2026-01-04"", ""time"": ""00:13"", ""total_amount"": 86114}, ""line_items"": [{""item_name"": ""모듬 곱창"", ""quantity"": 2, ""unit_price"": 33633, ""total_price"": 67266}, {""item_name"": ""소주"", ""quantity"": 3, ""unit_price"": 5315, ""total_price"": 15945}, {""item_name"": ""볶음밥"", ""quantity"": 1, ""unit_price"": 2903, ""total_price"": 2903}]}"
5,최도윤,재무팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 519번길""}, ""transaction"": {""date"": ""2026-01-28"", ""time"": ""05:08"", ""total_amount"": 17693}, ""line_items"": [{""item_name"": ""된장찌개"", ""quantity"": 2, ""unit_price"": 6343, ""total_price"": 12686}, {""item_name"": ""소주"", ""quantity"": 1, ""unit_price"": 5007, ""total_price"": 5007}]}"
6,윤서준,IT지원팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 736번길""}, ""transaction"": {""date"": ""2026-01-27"", ""time"": ""09:07"", ""total_amount"": 593018}, ""line_items"": [{""item_name"": ""물티슈(대용량)"", ""quantity"": 2, ""unit_price"": 3038, ""total_price"": 6076}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 2, ""unit_price"": 31275, ""total_price"": 62550}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6179, ""total_price"": 12358}, {""item_name"": ""가죽 벨트"", ""quantity"": 2, ""unit_price"": 256017, ""total_price"": 512034}]}"
7,윤서준,IT지원팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 901번길""}, ""transaction"": {""date"": ""2026-01-20"", ""time"": ""23:21"", ""total_amount"": 360623}, ""line_items"": [{""item_name"": ""한우 등심"", ""quantity"": 1, ""unit_price"": 74310, ""total_price"": 74310}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 213783, ""total_price"": 213783}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 14824, ""total_price"": 29648}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6073, ""total_price"": 12146}, {""item_name"": ""아이코스 테리아"", ""quantity"": 1, ""unit_price"": 30736, ""total_price"": 30736}]}"
8,정수진,인사팀,"{""merchant_details"": {""name"": ""강남갈비"", ""address"": ""서울시 어딘가 구 208번길""}, ""transaction"": {""date"": ""2026-01-23"", ""time"": ""11:46"", ""total_amount"": 92868}, ""line_items"": [{""item_name"": ""모듬 곱창"", ""quantity"": 3, ""unit_price"": 26868, ""total_price"": 80604}, {""item_name"": ""볶음밥"", ""quantity"": 3, ""unit_price"": 4088, ""total_price"": 12264}]}"
9,박민준,개발팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 788번길""}, ""transaction"": {""date"": ""2026-01-05"", ""time"": ""05:49"", ""total_amount"": 31178}, ""line_items"": [{""item_name"": ""삼겹살"", ""quantity"": 1, ""unit_price"": 15710, ""total_price"": 15710}, {""item_name"": ""소주"", ""quantity"": 3, ""unit_price"": 5156, ""total_price"": 15468}]}"
10,한지원,홍보팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 472번길""}, ""transaction"": {""date"": ""2026-01-03"", ""time"": ""01:23"", ""total_amount"": 679173}, ""line_items"": [{""item_name"": ""물티슈(대용량)"", ""quantity"": 1, ""unit_price"": 3960, ""total_price"": 3960}, {""item_name"": ""가죽 벨트"", ""quantity"": 2, ""unit_price"": 229382, ""total_price"": 458764}, {""item_name"": ""아이코스 테리아"", ""quantity"": 2, ""unit_price"": 43559, ""total_price"": 87118}, {""item_name"": ""한우 등심"", ""quantity"": 1, ""unit_price"": 71532, ""total_price"": 71532}, {""item_name"": ""신라면(20입)"", ""quantity"": 3, ""unit_price"": 15303, ""total_price"": 45909}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 5945, ""total_price"": 11890}]}"
